Question,Answer
How are HSN-wise summary reports generated in IDMS?,
How does E-Invoicing work in IDMS?,"E-invoices are generated digitally and validated through the Government’s Invoice Registration Portal (IRP), which assigns a unique Invoice Reference Number (IRN) and QR code."
How does IDMS automate GST payments?,"IDMS calculates net GST liability, generates a Challan for GST payment (PMT-06), and facilitates online payments via Net Banking, UPI, or NEFT/RTGS."
How does IDMS generate audit reports for GST compliance?,IDMS maintains a detailed audit trail for: GST ledger reconciliation (sales vs. purchases); Invoice modifications & corrections; GSTR-9 (Annual Return) & GSTR-9C (Reconciliation Statement).
How does IDMS handle GST-exempt and zero-rated supplies?,"IDMS supports: GST-exempt goods (e.g., agricultural products, healthcare services); Zero-rated supplies (exports, supplies to SEZ); GST-exempt customers (charitable organizations, government departments)."
How does IDMS handle ITC (Input Tax Credit)?,"Input Tax Credit (ITC) allows businesses to claim GST paid on purchases against their GST liability on sales. IDMS maintains a ledger of ITC claims, matches them with GSTR-2A (auto-drafted supplier details from GSTN), and reconciles any discrepancies."
How does IDMS handle tax invoice vs. proforma invoice?,"A proforma invoice is a preliminary bill issued before the actual sale, while a tax invoice is a legal document for GST compliance. IDMS automates the conversion of proforma invoices into tax invoices."
How does IDMS help in GST compliance?,"IDMS ERP integrates GST into every transaction, ensuring automatic tax calculations, validation of GSTIN, real-time invoice generation, and GST return filing support (GSTR-1, GSTR-3B, etc.)."
How does IDMS help in reconciling GST mismatches?,"IDMS provides detailed GST reports and mismatch reports, ensuring accurate tax data before filing returns."
How does IDMS manage GST for inter-state vs. intra-state transactions?,IDMS automatically differentiates between: Intra-state transactions (CGST & SGST applied); Inter-state transactions (IGST applied); Exports (Zero-rated supply with/without LUT); Reverse charge transactions (RCM applicable).
What are the different types of GST in IDMS?,"CGST (Central Goods and Services Tax) - Applied on intra-state sales, collected by the Central Govt.; SGST (State Goods and Services Tax) - Applied on intra-state sales, collected by the State Govt.; IGST (Integrated Goods and Services Tax) - Applied on inter-state sales, collected by the Central Govt.; UTGST (Union Territory GST) - Applied on sales within Union Territories, collected by the UT Govt."
What happens if a sales invoice is cancelled after GST has been filed?,"If an invoice is cancelled before GST filing, it is simply removed. If cancelled after GST return submission, IDMS ensures a Credit Note is issued, adjusting tax liabilities in the next GST cycle."
What happens if there is a GST mismatch in IDMS?,"IDMS flags mismatches in GST returns (e.g., invoices missing from supplier records in GSTR-2A). It provides reconciliation reports, suggesting corrections before final filing."
What is GST and why is it important for businesses?,GST (Goods and Services Tax) is an indirect tax levied on the supply of goods and services in India. It replaces multiple indirect taxes and ensures a unified taxation system. Businesses must comply with GST regulations to avoid penalties and ensure smooth operations.
What is GSTR-1 and how does IDMS help in filing it?,"GSTR-1 is a monthly or quarterly return that details all outward supplies (sales) made by a business. IDMS automatically compiles and formats sales data (invoices, credit notes, and debit notes) and generates GSTR-1 reports for direct upload to the GST portal."
What is GSTR-3B and how does IDMS assist in its filing?,"GSTR-3B is a monthly summary return of both inward and outward supplies, along with GST payable. IDMS consolidates sales and purchase transactions and auto-computes GST liabilities, enabling seamless 3B return filing."
What is the Reverse Charge Mechanism (RCM) in GST?,"Under RCM, instead of the supplier, the buyer is liable to pay GST to the government for certain transactions (e.g., purchases from unregistered dealers)."
What is the role of HSN & SAC codes in IDMS?,"HSN (Harmonized System of Nomenclature) codes classify goods, while SAC (Service Accounting Code) codes classify services for GST purposes. IDMS assigns these codes to each item and service for accurate taxation."
When is an E-Way Bill required?,"If goods worth more than ₹50,000 are being transported, an E-Way Bill must be generated via IDMS. It contains transporter details, invoice information, and route details."
